fips,county,certified,certification_date,certification_deadline,meeting_date,meeting_time,broadcast_available,broadcast_platform,broadcast_url,broadcast_meeting_id,in_person_only,broadcast_notes,broadcast_source,ballots_cast,registered_voters,turnout_pct,notes,source_url
13025,Brantley,Unknown,,2026-05-25,,,,,,,,,,Unknown,Unknown,Unknown,"As of late Thursday, May 21, 2026, the Brantley County elections website has not posted an official certification notice or final results for the May 19 primary. Unofficial results show 100% of precincts reporting. Recent wildfires in the county have caused significant local disruption, which may affect the certification timeline.","[County Elections](https://brantleycounty-ga.gov/boardofelections), [News4Jax Results](https://www.news4jax.com/vote-2026/2026/05/14/brantley-charlton-pierce-county-election-results-2026-georgia-primary/)"
13027,Brooks,No,,2026-05-25,,,,,,,,,,,,,"The Brooks County official website (brookscountyga.gov) is currently unreachable. According to Georgia statutory law (O.C.G.A. § 21-2-493), the deadline for county certification is the Monday following the election (May 25, 2026). As of May 21, 2026, no official notice of early certification was found via secondary sources or archived meeting agendas. The Board of Elections typically meets at 610 South Highland Street, Quitman, GA.",[County Elections Page](https://brookscountyga.gov/elections)
13029,Bryan,No,,2026-05-26,2026-05-22,,No,,,,Yes,Board of Elections meetings are not included in the county's regular livestreaming on YouTube or Facebook. Agendas for these meetings do not provide remote access links.,[Bryan County Board of Elections & Registration](https://www.bryancountyga.gov/government/departments-a-g/elections/board-of-elections-registration),"9,000+","34,465",26.21%,"Certification meeting is scheduled for Tuesday, May 26, 2026, at 4:00 PM in Pembroke. A pre-certification meeting is scheduled for Friday, May 22, 2026. Turnout was reported at 26.21% with approximately 9,033 ballots cast from an electorate of 34,465.","[County Elections Page](https://www.bryancountyga.gov/government/departments-a-g/elections/board-of-elections-registration), [Bryan County News](https://www.bryancountynews.com/news/esplost-renewed-on-election-day/)"
13031,Bulloch,No,,2026-05-25,2026-05-26,1:30 PM,No,,,,Yes,"The agenda for the May 26, 2026 Special Meeting (Certification) specifies an in-person location at the North Main Annex Community Room. While Bulloch County livestreams Board of Commissioners meetings on YouTube, Board of Elections meetings are not listed among their livestreams or past videos.","[Bulloch County Meeting Portal](http://bullochga.iqm2.com/Citizens/Default.aspx), [Bulloch County Board of Commissioners YouTube](https://www.youtube.com/@bullochcountyboardofcommis8310/streams)","11,250","50,694",22.19%,"Certification is scheduled for a Special Meeting on May 26, 2026, at 1:30 PM. The board will also vote on provisional ballots at that time. Report as of May 21 remains 'Unofficial and Incomplete.'","[County Elections Page](https://bullochcounty.net/elections/), [Meeting Agenda](https://bullochga.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1878&Inline=True)"
13033,Burke,No,,2026-05-25,2026-05-22,10:00 AM,No,,,,Yes,The public notice for the certification meeting specifies a physical location at the Board of Elections Office with no remote access or livestream details provided. Board of Elections meetings are not found on the county's official YouTube channel or Facebook page.,[Burke County Board of Elections](https://www.burkecounty-ga.gov/departments/board_of_elections_and_registration.php),"4,518","16,441",27.48%,"The Burke County Board of Elections is scheduled to meet for election certification on Friday, May 22, 2026, at 10:00 a.m. results remain unofficial and incomplete as of May 21.",[County Elections](https://www.burkecounty-ga.gov/departments/board_of_elections_and_registration.php)
13035,Butts,No,,2026-05-25,2026-05-26,12:00 PM,No,,,,Yes,"Board meetings are held in-person at the voter registration office. The official calendar and website notice mention meetings are ""open to the public"" but provide no remote access options.","[Butts County Elections Board Meeting](https://buttscountyga.com/events/elections-board-meeting/), [Butts County Elections Department](https://buttscountyga.com/departments-county/elections/)",,,,"A Board of Elections meeting is scheduled for May 26, 2026, at 12:00 PM. As of May 21, no official notice or announcement of certification for the May 19 primary has been posted on the county website. Unofficial early voting data showed 2,182 ballots cast as of May 14.",[County Elections Page](https://buttscountyga.com/departments-county/elections/)
13037,Calhoun,No,,2026-05-25,,,,,,,,,,,,,"As of May 21, 2026, no official announcement of certification has been found. The county website lacks a dedicated elections page, and certification typically occurs closer to the May 25 statutory deadline. Judge Annie Holder serves as the Superintendent of Elections.","[Calhoun County Offices](https://calhouncountyga.com/offices/), [Albany Herald](https://albanyherald.com/calhouncounty/calhoun-county-primary-elections-sees-smooth-sailing/)"
13039,Camden,No,,2026-05-25,2026-05-22,3:00 PM,Yes,YouTube,[Camden BOC - YouTube](https://www.youtube.com/@CamdenCountyBOC/streams),,No,The meeting is scheduled to be streamed on the Camden County Board of Commissioners YouTube channel. Past Board of Elections meetings have also been streamed there.,[Camden County Calendar](https://www.camdencountyga.gov/Calendar.aspx?EID=4409&month=5&year=2026&day=22&calType=0),"8,018","39,460",20.32%,"The Camden County Board of Elections & Registration has a certification meeting scheduled for Friday, May 22, 2026, at 3:00 PM. Current results on the website are listed as 'Unofficial and Incomplete'.","[Camden County Election Results](https://www.camdencountyga.gov/1013/Election-Results), [Board of Elections 2026 Meeting Schedule](https://www.co.camden.ga.us/AgendaCenter/ViewFile/Agenda/_12182025-606)"
13043,Candler,No,,2026-05-25,2026-05-26,5:00 PM,Unknown,,,,No,"The official county calendar lists a Board of Registrars meeting on May 26, 2026, at 5 PM at the Probate Court. While the Board of Commissioners livestreams on Twitch, no stream is listed for elections.","[Candler County Voter Registrar](https://metter-candlercounty.com/better-community-county-voter-registrar.php), [Candler County Government](https://metter-candlercounty.com/better-community-county-government)",,,,"The Candler County Board of Registrars has a meeting scheduled for Tuesday, May 26, 2026, at 5:00 PM at the Candler County Probate Court. Results for the May 19 primary are currently pending official certification. May 25, 2026, is the statutory deadline and also Memorial Day.","[County Elections Page](https://www.candlerco-ga.gov/1203/Elections-Voter-Registrar), [Voter Registrar Calendar](https://metter-candlercounty.com/better-community-county-voter-registrar.php)"
13045,Carroll,No,,2026-05-25,2026-05-22,3:00 PM,No,,,,Yes,"Board meetings are held in-person at the Elections Office. Past records on YouTube consist of Board of Commissioners meetings, not Board of Elections. Agenda portal showed no livestream links.","[Carroll County Board of Elections & Registration](https://www.carrollcountyga.gov/342/Board-of-Elections-Registration), [Carroll County Calendar](https://www.carrollcountyga.gov/Calendar.aspx?EID=1631)","20,688","86,635",23.88%,"Results are currently labeled ""Unofficial and Incomplete."" A Board of Elections meeting is scheduled for May 22, 2026, at 3:00 pm, likely for certification.",[County Elections](https://www.carrollcountyga.gov/914/2026-Election-Results)
13047,Catoosa,No,,2026-05-25,,,,,,,,,,"11,103","47,186",23.53%,"As of May 21, 2026, results for the May 19 General Primary are posted as 'UNOFFICIAL & INCOMPLETE'. A 'Notice of Computation, Canvassing, and Consolidation' states the process began on May 19 at 7:00pm and continues until complete. No certification notice for this specific election has been posted yet. Registered voters: 47,186. Turnout: 23.53%.",[County Elections Page](https://www.catoosacountyga.gov/departments/view-all-departments/elections-voter-registration)
13049,Charlton,No,,2026-05-25,2026-05-21,,Unknown,,,,Unknown,"No information regarding a livestream or broadcast for the Board of Elections certification meeting was found on the official county website or social media. Past Board of Elections meetings (e.g., 2022 certification) do not appear to have been broadcasted. Board of Commissioners meetings are streamed on YouTube, but this does not appear to extend to the Board of Elections.","[Charlton County Elections Page](https://charltoncountyga.us/263/Elections-and-Voter-Registration), [Charlton County Agenda Center](https://charltoncountyga.us/AgendaCenter)",,,,"As of May 21, 2026, the official Charlton County elections website and meeting portal have not posted a notice of certification or results for the May 19, 2026 General Primary. The meeting portal does not show any Board of Elections meetings scheduled or held between the election date and May 21. News sources indicate 100% of precincts have reported unofficial results.","[County Elections Page](https://charltoncountyga.us/263/Elections-and-Voter-Registration), [Meeting Portal](https://charltoncoga.portal.civicclerk.com/)"
13051,Chatham,No,,2026-05-25,2026-05-22,12:00 PM,Yes,Zoom,[Zoom Meeting](https://us02web.zoom.us/j/8919918655?omn=86290492722),891 991 8655,No,"The Pre-Certification meeting is at 12 PM on May 22, 2026, via Zoom. No votes will be taken during this meeting to certify the election. Registration may be required via the Zoom link.",[Chatham County Board of Elections](https://elections.chathamcountyga.gov/),,,,"A pre-certification meeting to review election returns is scheduled for May 22, 2026, at 12:00 PM via Zoom. The Board of Elections has stated that no votes to certify the election will be taken during this specific meeting. Unofficial results are currently available.",[County Elections Page](https://elections.chathamcountyga.gov/)
13053,Chattahoochee,No,,2026-05-25,,,,,,,,,,669 (estimated from gubernatorial primary totals),,,"Election results are currently listed as ""Unofficial"" on the Georgia Secretary of State's portal and the county's official Facebook page (as of May 20, 2026). No certification meeting notice or official results document has been posted to the Board of Elections website. Statutory deadline for certification is May 25, 2026.","[County Elections Page](https://ugoccc.com/board-of-elections), [Election Results](https://results.sos.ga.gov/results/public/chattahoochee-county-ga/elections/GeneralPrimary51926)"
13055,Chattooga,No,,2026-05-25,,,,,,,,,,"3,102 (combined major party primary votes for Governor)","15,226 (as of March 2026 special election)",20.37% (estimated),"As of May 21, 2026, the Georgia Secretary of State's website labels Chattooga County results as ""UNOFFICIAL"". All 5 precincts have completed election night reporting. No certification meeting notice was found on the county's official website or Agenda Center for the May 19 primary.",[County Elections Page](https://results.sos.ga.gov/results/public/chattooga-county-ga/elections/GeneralPrimary51926)
13057,Cherokee,No,,2026-05-25,2026-05-22,5:00 PM,Unknown,County Portal (Granicus),[County Portal](https://cherokeega.granicus.com/ViewPublisher.php?view_id=1),,No,"While Cherokee County generally livestreams Board of Elections meetings via its Granicus portal, historical records from the Board's website indicate that certification meetings held at the Elections Office often have 'No Live Stream'. The agenda for the May 22, 2026 certification meeting does not provide a remote link.","[Cherokee County Board of Elections Meetings](https://cherokeegavotes.com/board/), [Cherokee County Granicus Portal](https://cherokeega.granicus.com/ViewPublisher.php?view_id=1)","57,400","205,465",27.94%,"A Board of Elections Special Called Meeting is scheduled for May 22, 2026, at 5:00 PM to certify the May 19, 2026, election results. Results currently on the site are marked 'Unofficial and Incomplete'.","[County Elections Page](https://cherokeegavotes.com), [Board Meeting Agendas](https://cherokeega.granicus.com/ViewPublisher.php?view_id=1)"
13059,Clarke,No,,2026-05-25,2026-05-22,5:30 PM,Yes,YouTube,[Athens-Clarke County YouTube](https://www.youtube.com/@accgov),,No,Board of Elections meetings are broadcast live on the county's YouTube channel. Links for live viewing are typically posted to the website and Facebook page before each meeting.,"[Board of Elections Page](https://www.accgov.com/293/Board-of-Elections), [Athens-Clarke County Elections Department](https://www.accgov.com/elections)","24,459",,,"As of May 21, 2026, results are still listed as UNOFFICIAL. A special certification meeting for the May 19 primary results is scheduled for Friday, May 22, 2026, at 5:30 PM. Ballots cast total derived from summing top-level contest votes (e.g., US Senate Rep/Dem).","[County Elections Page](https://www.accgov.com/elections), [Board of Elections Calendar](https://www.accgov.com/Calendar.aspx?EID=29991), [Election Results](https://results.sos.ga.gov/results/public/clarke-county-ga/elections/GeneralPrimary51926)"
13061,Clay,Unknown,,2026-05-25,,,,,,,,,,,,,"The official county website lists the Board of Elections under its 'Boards & Commissions' section but does not provide specific election results, certification notices, or separate meeting documents for the elections board. No mention of the May 19, 2026 certification was found on the site as of May 21, 2026.",[County Elections Page](https://www.claycountyga.net/boards-and-commissions)
13063,Clayton,No,,2026-05-25,2026-05-22,,No,,,,Yes,"The official meeting notice on the county website specifies the meeting location at the Clayton County Elections Center with no mention of a livestream or remote access option. Past Board of Elections meetings have been held in-person only, and the county's YouTube channel (Clayton County Access TV) does not show a history of streaming these specific board meetings.",[Clayton County Elections and Registration](https://www.claytoncountyga.gov/government/elections-and-registration/),"3,907 (Rep) + 41,798 (Dem) = 45,705","192,580",2.03%,"Results are currently listed as 'Unofficial' on the county website. A Special Called Board Meeting is scheduled for May 22, 2026, which is likely for reconciliation/pre-certification. Voter turnout for the Democratic primary was reported as 2.03% (based on 192,580 registered voters), but this appears to be a partial figure or specific to the Democratic contest as shown in the screenshot. Total ballots cast across Republican (3,803 for US Senate, 3,886 for Governor) and Democratic (41,798 for US Senate) contests were retrieved from the unofficial results page.","[Clayton County Election Results](https://www.claytoncountyga.gov/government/elections-and-registration/election-results/may-19-2026-general-primary-election/), [Clayton County Elections Home](https://www.claytoncountyga.gov/government/elections-and-registration/)"
13065,Clinch,Unknown,,2026-05-25,,,,,,,,,,,,,"No official certification notice or primary results found on the county website as of May 21, 2026. The official website lacks a dedicated elections page. Statutory deadline for certification is May 25, 2026.",[Clinch County Elections](https://clinchcountyga.gov/)
13067,Cobb,No,,2026-05-25,2026-05-26,,Yes,"YouTube, Facebook Live","[YouTube](https://www.youtube.com/@CobbCountyGovt/streams), [Facebook](https://www.facebook.com/CobbCountyGovernment/videos/)",,No,"Meetings are live streamed and archived on the Cobb County Government YouTube channel and Facebook page. The certification meeting is scheduled for May 26, 2026.",[Cobb County Board of Elections Meetings](https://www.cobbcounty.gov/elections/about-elections-voter-registration/board-elections-registration),,,,"The Board of Elections has a Regular/Certification meeting scheduled for Tuesday, May 26, 2026. Technical issues with voter check-in equipment on election day led to a court order extending voting hours at 11 precincts.","[County Elections](https://www.cobbcounty.gov/elections), [Board of Elections](https://www.cobbcounty.gov/elections/about-elections-voter-registration/board-elections-registration), [Certification Meeting Event](https://www.cobbcounty.gov/events/2026-05-26board-elections-registration-regularcertification-meeting)"
13069,Coffee,No,,2026-05-25,,,,,,,,,,Unknown,Unknown,Unknown,"As of late May 21, 2026, there is no official confirmation of certification for Coffee County, Georgia. The statutory deadline for certification in Georgia is May 25, 2026. Official links for Coffee County elections lead to the Secretary of State's portal or are currently unreachable. News reports from similar periods indicate certification typically occurs closer to the deadline. Unofficial results for the Coffee County, Tennessee primary (held May 5) were found but are not applicable to the Georgia primary.",[Coffee County Elections Office](https://mvp.sos.ga.gov/s/county-election-offices)
13071,Colquitt,No,,2026-05-25,,,,,,,,,,,,,"As of May 21, 2026, no certification notice or official final results for the May 19 primary have been posted on the Colquitt County elections website. The statutory deadline for county certification is May 25, 2026. Advance voting records indicate 2,141 in-person and 53 absentee ballots were returned as of May 15.","[Colquitt County Elections](https://www.colquittcountyga.gov/elections/documents.php), [Colquitt County Registrar](https://www.colquittcountyga.gov/departments/registrar.php)"
13073,Columbia,No,,2026-05-25,2026-05-22,4:00 PM,No,,,,Yes,The official notice for the certification meeting specifies only the physical location at the Appling Warehouse. Local reporting indicates that Board of Elections meetings are not filmed.,"[Board of Elections Meeting Notice](https://www.columbiacountyga.gov/DocumentCenter/View/9407), [404 Media Article](https://www.404media.co/inside-the-plan-to-use-ai-to-purge-voter-rolls/)",,,,"The Board of Elections is scheduled to meet for the official certification of the May 19, 2026 primary results on Friday, May 22, 2026, at 4:00 PM at the Appling Warehouse. As of May 21, results remain uncertified. Unofficial data as of May 19 shows 14,161 advance voting ballots cast and 697 absentee ballots received.","[County Elections Page](https://www.columbiacountyga.gov/318/Board-of-Elections), [Press Releases & Notices](https://www.columbiacountyga.gov/578/Press-Releases-Notices), [Computation & Certification Notice](https://www.columbiacountyga.gov/DocumentCenter/View/9407/Computation-Canvassing--Consolidation-Notice---May-19-2026)"
13075,Cook,Unknown,,2026-05-25,,,,,,,,,,,,,"The Cook County government website (cookcountyga.us) was under construction during the time of research. The Board of Elections holds monthly meetings every 4th Thursday at 10:00 a.m., which for May 2026 is May 28, 2026. However, some Georgia counties hold special certification meetings earlier. No explicit confirmation of certification for the May 19, 2026 primary was found on alternative platforms like Facebook or via general search results as of May 21, 2026. Statutory deadline for certification in Georgia is May 25, 2026.","[Cook County Elections Office](https://cookcountyga.us/departments-and-offices/elections-office/), [Cook County GA Elections Facebook](https://www.facebook.com/p/Cook-County-GA-Elections-100064642003762/)"
13077,Coweta,No,,2026-05-25,2026-05-26,10:00 AM,Unknown,,,,No,"The county website and meeting calendar do not provide a livestream link or remote attendance option for the Board of Elections. While the Board of Commissioners streams meetings live via a portal, the Board of Elections typically meets in-person at 87 Newnan Station Drive. Past records from April 2020 show a teleconference option was used during COVID-19, but no current livestream or Zoom links are listed on the official Elections page for 2026.",[Coweta County Board of Elections](https://www.coweta.ga.us/departments-services/departments-a-e/elections-and-voter-registration/board-of-elections),,,,"The Coweta County Board of Elections has a meeting scheduled for May 26, 2026, at 10:00 a.m., which is the likely date for election certification. The statutory deadline of May 25, 2026, is Memorial Day. Results currently reported by local media and the Secretary of State are unofficial. Unofficial results for the School Board At-Large District 1 race show Larry D. Robertson winning with 14,275 votes (51.26%).",[Coweta County Board of Elections](https://www.coweta.ga.us/departments-services/departments-a-e/elections-and-voter-registration/board-of-elections)
13079,Crawford,No,,2026-05-25,2026-05-22,10:00 AM,No,,,,Yes,The meeting notice specifies it will be held at the Election Office. Past meeting schedules and the Facebook page do not mention or provide livestream links for Board of Elections meetings.,"[Crawford County Board of Elections](https://www.crawfordcountyga.org/notice-board-of-election-meeting-changed-to-5-22-2026-at-10am/), [Crawford County Board of Elections Facebook](https://www.facebook.com/p/Crawford-County-Board-of-Elections-61552214882869/)","2,625","8,641",30.38%,"Board of Elections certification meeting is scheduled for May 22, 2026, at 10:00 AM. Current results are unofficial and incomplete.","[County Elections Page](https://www.crawfordcountyga.org/elections-and-registration/), [Meeting Notice](https://www.crawfordcountyga.org/notice-board-of-election-meeting-changed-to-5-22-2026-at-10am/), [Election Summary Report](https://www.crawfordcountyga.org/wp-content/uploads/2026/05/ElectionSummaryReportRPT-Unofficial-and-Incomplete-ABM-AIP-All-Districts.pdf)"
13081,Crisp,Unknown,,2026-05-25,,,,,,,,,,,,,"The official Crisp County elections website (crispcounty.com) was unreachable at the time of research. No official announcement or news report regarding certification for the May 19, 2026 primary was found as of May 21, 2026. Georgia's statutory certification deadline is May 25, 2026.",[Crisp County Elections](https://crispcounty.com/elections-voter-registration)
13083,Dade,No,,2026-05-25,2026-05-22,9:00 AM,No,,,,Yes,"Meeting notice states it is open to the public but does not provide livestream links. The county has posted election result videos to Facebook in the past, but not a full board meeting stream.","[Certification Meeting Notice](https://www.dadecounty-ga.gov/DocumentCenter/View/3159), [Elections & Voting Page](https://www.dadecounty-ga.gov/241/Elections-Voting)","2,527","11,879",21.27%,"The Dade County Board of Elections has a special called meeting scheduled for May 22, 2026, at 9:00 AM to certify the May 19, 2026 General Primary election results. As of May 21, 2026, the results are unofficial and incomplete. A District 1 Commission race is headed to a runoff.","[County Elections](https://www.dadecounty-ga.gov/CivicAlerts.aspx?AID=121), [Certification Meeting Notice](https://www.dadecounty-ga.gov/DocumentCenter/View/3159), [Unofficial Results](https://www.dadecounty-ga.gov/DocumentCenter/View/3156)"
13085,Dawson,No,,2026-05-25,,,,,,,,,,"6,312 (estimated from top-of-ticket race totals)","25,703 (as of 4/16/2026)",~24.5% (estimated),"As of May 21, 2026 at 7:49 PM local time, the Dawson County elections website and results portal still display 'UNOFFICIAL RESULTS' from the May 19 primary. While the Board of Elections regularly meets on the third Thursday of the month (which is today), no official certification announcement or updated results have been posted. The statutory deadline for certification in Georgia is May 25, 2026.","[Dawson County Board of Elections](https://www.dawsonelections.com), [Election Results Portal](https://app.enhancedvoting.com/results/public/dawson-county-ga/elections/GeneralPrimary51926)"
13087,Decatur,No,,2026-05-25,2026-05-22,4:00 PM,Unknown,,,,Yes,"The Board of Elections meets physically at the Courthouse Annex, 122 W. Water St. No evidence of a livestream was found on the official website or social media.",[Decatur County Elections Office](https://www.decaturcountyga.gov/departments-agencies/elections-office/),,,,"A Board of Elections meeting to certify the May 19, 2026 primary results is scheduled for Friday, May 22, 2026, at 4:00 p.m. at the Elections Office (Courthouse Annex). A Risk Limiting Audit (RLA) is also scheduled to begin on May 28, 2026.",[County Elections Page](https://www.decaturcountyga.gov/departments-agencies/elections-office/)
13089,DeKalb,No,,2026-05-25,2026-05-26,12:00 PM,Yes,County Portal (DCTV / IBM Video),[DCTV BRE Channel](https://video.ibm.com/channel/xUJgKs6n2VW),,No,The meeting is livestreamed on DCTV's IBM Video (UStream) channel. Regular board meetings are also typically aired on DCTV Channel 23 and posted to the county's YouTube channel.,[DeKalb County Board of Registration and Elections Meetings Page](https://dekalbcountyga.gov/departments/voter-registration-and-elections/leadership-board-members-meetings),"174,340","495,076",35.21%,"The DeKalb County Board of Registration and Elections is scheduled to meet to certify the May 19, 2026 General Primary results on Tuesday, May 26, 2026, at 12:00 p.m. As of May 21, results remain 'Unofficial and Incomplete'.","[County Elections Page](https://dekalbcountyga.gov/departments/voter-registration-and-elections/election-results), [Certification Meeting Notice](https://dekalbcountyga.gov/sites/default/files/2026-05/Notice_May%2026%202026%20BRE%20Scheduled%20Meeting%20Notice_05052026_FINAL.pdf), [Election Summary Report](https://dekalbcountyga.gov/sites/default/files/2026-05/ElectionSummaryReportRPT_05_20_00_51.pdf)"
13091,Dodge,No,,2026-05-25,,,,,,,,,,"1,697 (advanced/absentee only)",,,"The official Dodge County elections website only shows unofficial advanced and absentee voting totals as of May 15, 2026 (1,697 total ballots). No notice of certification for the May 19, 2026 primary was found as of May 21, 2026. The statutory deadline for certification in Georgia is May 25, 2026.",[County Elections Page](https://dodgecountyga.com/elections/)
13093,Dooly,No,,2026-05-25,,,,,,,,,,,,,"No certification announcement, board meeting minutes for May 2026, or official results were found on the Dooly County elections website as of May 21, 2026. Certification is likely pending ahead of the May 25 statutory deadline.","[County Elections](https://doolycountyga.com/elections/), [Board Minutes](https://doolycountyga.com/dooly-county-board-of-elections-meeting-minutes/)"
